88,89,90,91,92,93,94,95,96,97,98,99,100,101;92,93,94,95,96,97,98,99,100,101,102,103,104,105
51,52,53,54,55,56,57,58,59,60,61,62,63;63,64,65,66,67,68,69,70,71,72
80,81,82,83,84,85,86,87,88,89;80,81,82,83,84,85,86
88,89,90,91,92,93,94,95;99,100,101,102,103,104,105,106,107,108,109,110,111,112
71,72,73,74,75,76,77;65,66,67,68,69,70,71
59,60,61,62,63,64,65,66,67,68,69,70;86,87,88,89,90,91,92,93,94,95,96,97,98
1,2,3,4;3,4,5,6
62,63,64,65,66,67;84,85,86,87,88,89,90,91,92,93,94,95,96
88,89,90,91,92,93,94,95,96,97,98,99;77,78,79,80,81,82,83,84,85,86,87
52,53,54,55,56,57,58;93,94,95,96,97,98,99,100
63,64,65,66,67,68;65,66,67,68,69,70,71,72,73,74,75,76,77
9,10,11;33,34,35
80,81,82,83,84,85,86,87,88;74,75,76,77,78,79,80,81,82,83,84,85,86,87
64,65,66,67,68,69,70,71;87,88,89,90,91,92,93,94,95,96,97,98,99,100
75,76,77,78,79,80,81,82,83,84,85,86,87,88;87,88,89,90,91
60,61,62,63,64,65,66,67,68,69,70,71;69,70,71,72,73,74
77,78,79,80,81,82,83,84,85;89,90,91,92,93,94,95,96,97,98
9,10,11;11,12,13
20,25,36,45,89;25,36,77,88,98
65,66,67,68,69,70,71,72,73,74,75;72,73,74,75,76
